id,title,album,artist,release_date,length,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature,release_year
5UwluJ6hCnGTvweMFwRFSi,True Love,City J,Elephant Kind,2016-09-21,229000,48,False,229000,0.626,0.747,9,-6.663,1,0.0335,0.656,0.34,0.118,0.124,133.989,audio_features,spotify:track:5UwluJ6hCnGTvweMFwRFSi,https://api.spotify.com/v1/tracks/5UwluJ6hCnGTvweMFwRFSi,https://api.spotify.com/v1/audio-analysis/5UwluJ6hCnGTvweMFwRFSi,4,2016
7lIiM6Ak7C0e5SKSjWjN5F,"Zaman, Zaman","Zaman, Zaman",The Trees and The Wild,2016-09-16,463440,20,False,463440,0.264,0.897,9,-6.888,1,0.19,0.279,0.966,0.247,0.0736,142.08,audio_features,spotify:track:7lIiM6Ak7C0e5SKSjWjN5F,https://api.spotify.com/v1/tracks/7lIiM6Ak7C0e5SKSjWjN5F,https://api.spotify.com/v1/audio-analysis/7lIiM6Ak7C0e5SKSjWjN5F,4,2016
2B5mptUTfxrq1JTEUd4kTH,If I See You Tomorrow,Vira Talisa,Vira Talisa,2016-12-02,158351,43,False,158351,0.777,0.461,6,-10.201,1,0.0366,0.81,0.0303,0.119,0.818,133.96,audio_features,spotify:track:2B5mptUTfxrq1JTEUd4kTH,https://api.spotify.com/v1/tracks/2B5mptUTfxrq1JTEUd4kTH,https://api.spotify.com/v1/audio-analysis/2B5mptUTfxrq1JTEUd4kTH,4,2016
1HrXpPPdLzlemecXRNpXlS,As Long As,As Long As,Heidi (The Girl with the Hair),2019-04-12,208236,45,False,208237,0.577,0.359,9,-12.292,1,0.0319,0.792,4.4e-05,0.368,0.219,97.007,audio_features,spotify:track:1HrXpPPdLzlemecXRNpXlS,https://api.spotify.com/v1/tracks/1HrXpPPdLzlemecXRNpXlS,https://api.spotify.com/v1/audio-analysis/1HrXpPPdLzlemecXRNpXlS,4,2019
7JFFMicliyVArHQgwEqVBS,Alexandra,What Do You Really Know?,Reality Club,2019-08-30,238542,53,False,238543,0.382,0.355,9,-10.025,1,0.0336,0.745,2.65e-06,0.248,0.146,138.419,audio_features,spotify:track:7JFFMicliyVArHQgwEqVBS,https://api.spotify.com/v1/tracks/7JFFMicliyVArHQgwEqVBS,https://api.spotify.com/v1/audio-analysis/7JFFMicliyVArHQgwEqVBS,4,2019
1VOI4YklnvBR7EGh9uRSOP,Desember,Daur Baur,Pandai Besi,2013-05-29,379081,25,False,379082,0.322,0.394,0,-10.052,1,0.0342,0.0134,0.0442,0.0586,0.0931,109.987,audio_features,spotify:track:1VOI4YklnvBR7EGh9uRSOP,https://api.spotify.com/v1/tracks/1VOI4YklnvBR7EGh9uRSOP,https://api.spotify.com/v1/audio-analysis/1VOI4YklnvBR7EGh9uRSOP,3,2013
0ICYvLy1vP6BDALbkMZRpx,"Saat Semua Semakin Cepat, Bali Berani Berhenti",Earthship,Navicula,2018-10-01,241194,41,False,241195,0.599,0.43,0,-5.648,1,0.0263,0.769,4.67e-06,0.0942,0.398,144.769,audio_features,spotify:track:0ICYvLy1vP6BDALbkMZRpx,https://api.spotify.com/v1/tracks/0ICYvLy1vP6BDALbkMZRpx,https://api.spotify.com/v1/audio-analysis/0ICYvLy1vP6BDALbkMZRpx,4,2018
5WsSCE5Kf29xWJKFEp6KbM,Absolute Beginner Terror,Longway to Nowhere,Teenage Death Star,2008-06-18,143093,28,False,143093,0.412,0.998,2,-3.117,1,0.0752,5.36e-05,0.00224,0.392,0.0647,125.049,audio_features,spotify:track:5WsSCE5Kf29xWJKFEp6KbM,https://api.spotify.com/v1/tracks/5WsSCE5Kf29xWJKFEp6KbM,https://api.spotify.com/v1/audio-analysis/5WsSCE5Kf29xWJKFEp6KbM,4,2008
6Rd4ep779v8CjlFVhaHrNX,"Yang Patah Tumbuh, Yang Hilang Berganti","Yang Patah Tumbuh, Yang Hilang Berganti",Banda Neira,2016-01-29,393072,62,False,393072,0.353,0.354,8,-10.85,1,0.0268,0.938,0.00407,0.122,0.104,96.887,audio_features,spotify:track:6Rd4ep779v8CjlFVhaHrNX,https://api.spotify.com/v1/tracks/6Rd4ep779v8CjlFVhaHrNX,https://api.spotify.com/v1/audio-analysis/6Rd4ep779v8CjlFVhaHrNX,4,2016
0sT3JMEAA8iAGByW38MqhC,Little Sunny Girl,Little Sunny Girl,Oscar Lolang,2017-01-12,193026,36,False,193026,0.481,0.269,9,-12.882,1,0.0337,0.872,6.91e-05,0.139,0.125,78.432,audio_features,spotify:track:0sT3JMEAA8iAGByW38MqhC,https://api.spotify.com/v1/tracks/0sT3JMEAA8iAGByW38MqhC,https://api.spotify.com/v1/audio-analysis/0sT3JMEAA8iAGByW38MqhC,4,2017
